Greensborough-Briar Hill,3088,55,40,35,130,5.354241451,0.423076923,0.307692308,0.269230769
St Albans+East-Kealba-Kings Park,3021,48,42,38,128,8.253673986,0.375,0.328125,0.296875
Rowville,3178,48,46,34,128,3.349915174,0.375,0.359375,0.265625
Fairfield-Alphington,3078,39,51,37,127,5.991089203,0.307086614,0.401574803,0.291338583
Kew+North-Studley Park,3101,58,34,35,127,4.004020774,0.456692913,0.267716535,0.275590551
Seaford,3198,57,35,35,127,9.748643423,0.448818898,0.275590551,0.275590551
Newport-Spotswood,3015,48,45,30,123,6.610138021,0.390243902,0.365853659,0.243902439
Ivanhoe,3079,59,37,26,122,4.485452586,0.483606557,0.303278689,0.213114754
Eltham-Research,3095,46,43,33,122,2.879675856,0.37704918,0.352459016,0.270491803
Torquay-Bellbrae-Jan Juc,3228,58,32,32,122,4.355543419,0.475409836,0.262295082,0.262295082
Laverton-Altona Meadows,3028,41,42,33,116,7.062380764,0.353448276,0.362068966,0.284482759
Clayton-Clayton North-Notting Hill,3168,46,39,31,116,8.802983661,0.396551724,0.336206897,0.267241379
Boronia,3155,40,40,32,112,7.558223289,0.357142857,0.357142857,0.285714286
Belgrave+South+Heights-Tecoma,3160,49,38,25,112,5.179239059,0.4375,0.339285714,0.223214286
Hallam,3803,54,42,12,108,7.793741389,0.5,0.388888889,0.111111111
Springvale,3171,44,40,23,107,8.760305498,0.411214953,0.373831776,0.214953271
Hampton,3188,55,27,22,104,5.291538279,0.528846154,0.259615385,0.211538462
Broadford-Tyaak,3658,51,39,14,104,4.097376993,0.490384615,0.375,0.134615385
Box Hill+South-Wattle Park,3128,42,34,27,103,9.170984456,0.40776699,0.330097087,0.262135922
Doncaster,3108,36,43,21,100,7.979302832,0.36,0.43,0.21
Warburton+East-Cambarville,3799,41,45,14,100,3.241895262,0.41,0.45,0.14
Thomastown,3074,33,35,31,99,10.16674045,0.333333333,0.353535354,0.313131313
Watsonia,3087,44,35,19,98,5.665627783,0.448979592,0.357142857,0.193877551
Moorabbin-Moorabbin East,3189,29,36,27,92,19.42078365,0.315217391,0.391304348,0.293478261
Keilor East,3033,31,31,26,88,4.759031601,0.352272727,0.352272727,0.295454545
Avondale Heights,3034,32,31,25,88,3.731003731,0.363636364,0.352272727,0.284090909
Glenroy,3046,26,32,29,87,7.467047594,0.298850575,0.367816092,0.333333333
Mooroolbark,3138,37,27,23,87,4.54347721,0.425287356,0.310344828,0.264367816
Glen Iris-Gardiner-Tooronga,3146,45,26,16,87,2.581369248,0.517241379,0.298850575,0.183908046
Endeavour Hills,3802,42,22,21,85,4.313502075,0.494117647,0.258823529,0.247058824
Bulleen,3105,34,30,20,84,3.349282297,0.404761905,0.357142857,0.238095238
